Symbol,Quantity,Opening Date,Opening Price $,Opening Net Amount $,Type,Closing Date,Closing Price $,Closing Net Amount $,Realized Gain $,Term,
AAL Jun 12 '20 $16 Put,4,06/05/2020,0.62,250.07,S,06/05/2020,0.82,325.92,75.85,Short,
AAL Jun 12 '20 $16 Put,26,06/05/2020,0.62,1625.43,S,06/05/2020,0.84,2170.47,545.05,Short,
AAPL,10,03/12/2020,261.47,2614.70,S,03/13/2020,260.92,2609.14,-5.56,Short,
AAPL,528,03/12/2020,261.47,138056.11,S,03/13/2020,261.00,137804.88,-251.23,Short,
AAPL,39,03/12/2020,261.47,10197.33,S,03/13/2020,261.01,10179.16,-18.17,Short,
AAPL,33,03/12/2020,261.47,8628.51,S,03/13/2020,261.04,8614.12,-14.39,Short,
AAPL,50,03/12/2020,261.47,13073.50,S,03/13/2020,261.05,13052.20,-21.29,Short,
AAPL,340,03/12/2020,261.47,88899.77,S,03/13/2020,261.08,88765.18,-134.59,Short,
ADBE May 15 '20 $350 Call,10,04/28/2020,5.50,5505.16,S,04/29/2020,5.50,5494.69,-10.47,Short,
ADBE May 15 '20 $360 Call,3,05/13/2020,2.50,751.55,S,05/13/2020,3.30,988.42,236.87,Short,
ADBE May 15 '20 $360 Call,2,05/13/2020,2.59,519.03,S,05/13/2020,3.30,658.95,139.92,Short,
ADBE May 15 '20 $360 Call,1,05/13/2020,2.58,258.52,S,05/13/2020,3.30,329.47,70.96,Short,
ADBE May 15 '20 $360 Call,1,05/13/2020,2.58,258.52,S,05/13/2020,3.30,329.47,70.96,Short,
ADBE May 15 '20 $360 Call,3,05/13/2020,2.60,781.55,S,05/13/2020,3.30,988.42,206.87,Short,
ADBE May 15 '20 $370 Call,10,04/29/2020,2.50,2505.16,S,04/29/2020,2.27,2264.77,-240.40,Short,
AMD Jun 19 '20 $60 Call,30,06/10/2020,1.22,3675.49,OX,06/20/2020,0.00,0.00,-3675.49,Short,
AMD Jun 19 '20 $60 Call,30,06/12/2020,0.30,915.49,OX,06/20/2020,0.00,0.00,-915.49,Short,
AMD Jun 19 '20 $60 Call,60,06/12/2020,0.14,870.98,OX,06/20/2020,0.00,0.00,-870.98,Short,
AMD Jun 26 '20 $60 Call,92,06/19/2020,0.22,2071.51,OX,06/27/2020,0.00,0.00,-2071.51,Short,
AMD Jun 26 '20 $60 Call,58,06/19/2020,0.23,1363.95,OX,06/27/2020,0.00,0.00,-1363.95,Short,
AMD Jun 26 '20 $60 Call,70,06/19/2020,0.17,1226.15,OX,06/27/2020,0.00,0.00,-1226.15,Short,
AMD Jul 02 '20 $60 Call,100,06/24/2020,0.34,3451.64,OX,07/04/2020,0.00,0.00,-3451.64,Short,
AMD Jul 02 '20 $60 Call,50,06/24/2020,0.17,875.82,OX,07/04/2020,0.00,0.00,-875.82,Short,
AMD Jul 24 '20 $62 Call,2,07/22/2020,1.08,217.03,S,07/22/2020,0.96,190.96,-26.07,Short,
AMD Jul 24 '20 $62 Call,8,07/22/2020,1.08,868.13,S,07/22/2020,0.96,763.84,-104.30,Short,
AMD Jul 24 '20 $62 Call,10,07/22/2020,0.80,805.16,S,07/22/2020,1.18,1174.79,369.63,Short,
AMD Jul 24 '20 $62 Call,1,07/22/2020,1.11,111.52,S,07/22/2020,1.50,149.48,37.96,Short,
AMD Jul 24 '20 $62 Call,7,07/22/2020,1.12,787.61,S,07/22/2020,1.50,1046.35,258.73,Short,
AMD Jul 24 '20 $62 Call,1,07/22/2020,1.11,111.52,S,07/22/2020,1.49,148.48,36.96,Short,
AMD Jul 24 '20 $62 Call,1,07/22/2020,1.12,112.52,S,07/22/2020,1.49,148.48,35.96,Short,
AMD Jul 31 '20 $60 Call,50,06/29/2020,0.60,3025.82,S,07/07/2020,1.04,5173.97,2148.15,Short,
AMD Jul 31 '20 $60 Call,25,07/02/2020,0.90,2262.91,S,07/07/2020,1.04,2586.98,324.07,Short,
AMD Jul 31 '20 $60 Call,25,07/02/2020,0.95,2387.91,S,07/07/2020,1.04,2586.98,199.07,Short,
AMD Jul 31 '20 $60 Call,40,07/07/2020,1.07,4300.66,S,07/08/2020,0.90,3579.18,-721.47,Short,
AMD Jul 31 '20 $60 Call,30,07/07/2020,1.07,3225.49,S,07/08/2020,0.90,2684.39,-541.10,Short,
AMD Jul 31 '20 $60 Call,5,07/07/2020,1.07,537.58,S,07/08/2020,0.90,447.40,-90.18,Short,
AMD Jul 31 '20 $60 Call,100,07/08/2020,0.98,9851.64,S,07/08/2020,0.98,9747.94,-103.70,Short,
AMD Jul 31 '20 $60 Call,25,07/07/2020,1.07,2687.91,S,07/08/2020,0.88,2186.99,-500.92,Short,
AMD Jul 31 '20 $60 Call,100,07/08/2020,0.92,9251.64,S,07/08/2020,0.94,9347.95,96.31,Short,
AMD Jul 31 '20 $60 Call,50,07/08/2020,1.07,5375.82,S,07/09/2020,1.90,9473.87,4098.05,Short,
AMD Jul 31 '20 $60 Call,50,07/08/2020,1.07,5375.82,S,07/09/2020,2.84,14173.77,8797.95,Short,
AMD Jul 31 '20 $60 Call,15,07/10/2020,2.60,3907.75,S,07/14/2020,1.46,2182.18,-1725.57,Short,
AMD Jul 31 '20 $60 Call,9,07/10/2020,2.60,2344.65,S,07/14/2020,1.46,1309.31,-1035.34,Short,
AMD Jul 31 '20 $60 Call,11,07/10/2020,2.60,2865.68,S,07/14/2020,1.46,1600.26,-1265.42,Short,
AMD Jul 31 '20 $60 Call,15,07/10/2020,2.40,3607.75,S,07/20/2020,1.62,2422.17,-1185.58,Short,
AMD Jul 31 '20 $60 Call,25,07/10/2020,2.60,6512.91,S,07/20/2020,1.62,4036.95,-2475.96,Short,
AMD Jul 31 '20 $60 Call,10,07/14/2020,1.62,1625.16,S,07/21/2020,1.85,1844.78,219.61,Short,
AMD Jul 31 '20 $60 Call,20,07/14/2020,1.62,3250.33,S,07/22/2020,3.68,7349.47,4099.14,Short,
AMD Jul 31 '20 $60 Call,4,07/14/2020,1.62,650.07,S,07/22/2020,3.95,1577.89,927.83,Short,
AMD Jul 31 '20 $60 Call,2,07/21/2020,1.80,361.03,S,07/22/2020,3.95,788.95,427.91,Short,
